"","Run","Experiment","Sample.Name","SRA_study","BioProject","GEO_Accession..exp.","source_name","Strain","PAO1","PA14","PAK","ClinicalIsolate"
"2381","SRR6215442","SRX3324113","GSM2830244","SRP121405","PRJNA415714","GSM2830244","Pseudomonas aeruginosa","PAO1",TRUE,FALSE,FALSE,FALSE
"2382","SRR6215443","SRX3324114","GSM2830245","SRP121405","PRJNA415714","GSM2830245","Pseudomonas aeruginosa","PAO1",TRUE,FALSE,FALSE,FALSE
"2383","SRR6215444","SRX3324115","GSM2830246","SRP121405","PRJNA415714","GSM2830246","Pseudomonas aeruginosa","PAO1",TRUE,FALSE,FALSE,FALSE
"2384","SRR6215445","SRX3324116","GSM2830247","SRP121405","PRJNA415714","GSM2830247","Pseudomonas aeruginosa","PAO1",TRUE,FALSE,FALSE,FALSE
"2385","SRR6215446","SRX3324117","GSM2830248","SRP121405","PRJNA415714","GSM2830248","Pseudomonas aeruginosa","PAO1",TRUE,FALSE,FALSE,FALSE
"2386","SRR6977045","SRX3918611","GSM3091026","SRP139288","PRJNA449493","GSM3091026","Stationary phase microbial culture","PAO1",TRUE,FALSE,FALSE,FALSE
"2387","SRR6977046","SRX3918612","GSM3091027","SRP139288","PRJNA449493","GSM3091027","Stationary phase microbial culture","PAO1",TRUE,FALSE,FALSE,FALSE
"2388","SRR6977047","SRX3918613","GSM3091028","SRP139288","PRJNA449493","GSM3091028","Stationary phase microbial culture","PAO1",TRUE,FALSE,FALSE,FALSE
"2389","SRR6977048","SRX3918614","GSM3091029","SRP139288","PRJNA449493","GSM3091029","Stationary phase microbial culture","PAO1",TRUE,FALSE,FALSE,FALSE
"2390","SRR6977049","SRX3918615","GSM3091030","SRP139288","PRJNA449493","GSM3091030","Stationary phase microbial culture","PAO1",TRUE,FALSE,FALSE,FALSE
"2391","SRR6977050","SRX3918616","GSM3091031","SRP139288","PRJNA449493","GSM3091031","Stationary phase microbial culture","PAO1",TRUE,FALSE,FALSE,FALSE
"2392","SRR6977051","SRX3918617","GSM3091032","SRP139288","PRJNA449493","GSM3091032","Stationary phase microbial culture","PA14",FALSE,TRUE,FALSE,FALSE
"2393","SRR6977052","SRX3918618","GSM3091033","SRP139288","PRJNA449493","GSM3091033","Stationary phase microbial culture","PA14",FALSE,TRUE,FALSE,FALSE
"2394","SRR6977053","SRX3918619","GSM3091034","SRP139288","PRJNA449493","GSM3091034","Stationary phase microbial culture","PA14",FALSE,TRUE,FALSE,FALSE
"2395","SRR6977054","SRX3918620","GSM3091035","SRP139288","PRJNA449493","GSM3091035","Stationary phase microbial culture","PA14",FALSE,TRUE,FALSE,FALSE
"2396","SRR6977055","SRX3918621","GSM3091036","SRP139288","PRJNA449493","GSM3091036","Stationary phase microbial culture","PA14",FALSE,TRUE,FALSE,FALSE
"2397","SRR6977056","SRX3918622","GSM3091037","SRP139288","PRJNA449493","GSM3091037","Stationary phase microbial culture","PA14",FALSE,TRUE,FALSE,FALSE
"2398","ERR2139380","ERX2195929","SAMEA104320284","ERP104508","PRJEB22802","","","",TRUE,FALSE,FALSE,FALSE
"2399","ERR2139381","ERX2195930","SAMEA104320285","ERP104508","PRJEB22802","","","",TRUE,FALSE,FALSE,FALSE
"2400","ERR2139382","ERX2195931","SAMEA104320286","ERP104508","PRJEB22802","","","",TRUE,FALSE,FALSE,FALSE
"2401","ERR2139383","ERX2195932","SAMEA104320287","ERP104508","PRJEB22802","","","",TRUE,FALSE,FALSE,FALSE
"2402","ERR2139384","ERX2195933","SAMEA104320288","ERP104508","PRJEB22802","","","",TRUE,FALSE,FALSE,FALSE
"2403","ERR2139385","ERX2195934","SAMEA104320289","ERP104508","PRJEB22802","","","",TRUE,FALSE,FALSE,FALSE
"2404","SRR1056106","SRX396920","clinical_pool_8_bc18","SRP034661","PRJNA231236","","","clinical isolate",FALSE,FALSE,FALSE,TRUE
"2405","SRR1056174","SRX396988","PSAE_1_PE_bc3","SRP034661","PRJNA231236","","","clinical isolate",FALSE,FALSE,FALSE,TRUE
"2406","SRR8782499","SRX5572477","GSM3685836","SRP189356","PRJNA528935","GSM3685836","PAO1r","PAO1r",TRUE,FALSE,FALSE,FALSE
