"","X1","X2"
"AAG03630","AAG03630","PA0241"
"AAG03631","AAG03631","PA0242"
"AAG03632","AAG03632","PA0243"
"AAG03633","AAG03633","PA0244"
"AAG03634","AAG03634","PA0245"
"AAG03635","AAG03635","PA0246"
"AAG03636","AAG03636","PA0247"
"AAG03637","AAG03637","PA0248"
"AAG03638","AAG03638","PA0249"
"AAG03639","AAG03639","PA0250"
"AAG03640","AAG03640","PA0251"
"AAG03641","AAG03641","PA0252"
"AAG03642","AAG03642","PA0253"
"AAG03643","AAG03643","PA0254"
"AAG03644","AAG03644","PA0255"
"AAG03645","AAG03645","PA0256"
"AAG03646","AAG03646","PA0257"
"AAG03647","AAG03647","PA0258"
"AAG03648","AAG03648","PA0259"
"AAG03649","AAG03649","PA0260"
"AAG03650","AAG03650","PA0261"
"AAG03651","AAG03651","PA0262"
"AAG03652","AAG03652","PA0263"
"AAG03653","AAG03653","PA0264"
"AAG03654","AAG03654","PA0265"
"AAG03655","AAG03655","PA0266"
"AAG03656","AAG03656","PA0267"
"AAG03657","AAG03657","PA0268"
"AAG03658","AAG03658","PA0269"
"AAG03659","AAG03659","PA0270"
"AAG03660","AAG03660","PA0271"
"AAG03661","AAG03661","PA0272"
"AAG03662","AAG03662","PA0273"
"AAG03663","AAG03663","PA0274"
"AAG03664","AAG03664","PA0275"
"AAG03665","AAG03665","PA0276"
"AAG03666","AAG03666","PA0277"
"AAG03667","AAG03667","PA0278"
"AAG03668","AAG03668","PA0279"
"AAG03669","AAG03669","PA0280"
"AAG03670","AAG03670","PA0281"
"AAG03671","AAG03671","PA0282"
"AAG03672","AAG03672","PA0283"
"AAG03673","AAG03673","PA0284"
"AAG03674","AAG03674","PA0285"
"AAG03675","AAG03675","PA0286"
"AAG03676","AAG03676","PA0287"
"AAG03677","AAG03677","PA0288"
"AAG03678","AAG03678","PA0289"
"AAG03679","AAG03679","PA0290"
"AAG03680","AAG03680","PA0291"
"AAG03681","AAG03681","PA0292"
"AAG03682","AAG03682","PA0293"
"AAG03683","AAG03683","PA0294"
"AAG03684","AAG03684","PA0295"
"AAG03685","AAG03685","PA0296"
"AAG03686","AAG03686","PA0297"
"AAG03687","AAG03687","PA0298"
"AAG03688","AAG03688","PA0299"
"AAG03689","AAG03689","PA0300"
"AAG03690","AAG03690","PA0301"
"AAG03691","AAG03691","PA0302"
"AAG03692","AAG03692","PA0303"
"AAG03693","AAG03693","PA0304"
"AAG03694","AAG03694","PA0305"
"AAG03695","AAG03695","PA0306"
"AAG03696","AAG03696","PA0307"
"AAG03697","AAG03697","PA0308"
"AAG03698","AAG03698","PA0309"
"AAG03699","AAG03699","PA0310"
"AAG03700","AAG03700","PA0311"
"AAG03701","AAG03701","PA0312"
"AAG03702","AAG03702","PA0313"
"AAG03703","AAG03703","PA0314"
"AAG03704","AAG03704","PA0315"
"AAG03705","AAG03705","PA0316"
"AAG03706","AAG03706","PA0317"
"AAG03707","AAG03707","PA0318"
"AAG03708","AAG03708","PA0319"
"AAG03709","AAG03709","PA0320"
"AAG03710","AAG03710","PA0321"
"AAG03711","AAG03711","PA0322"
"AAG03712","AAG03712","PA0323"
"AAG03713","AAG03713","PA0324"
"AAG03714","AAG03714","PA0325"
