"","X1","X2"
"ABJ15301","ABJ15301","PA14_04410"
"ABJ15302","ABJ15302","PA14_04420"
"ABJ15303","ABJ15303","PA14_04430"
"ABJ15304","ABJ15304","PA14_04440"
"ABJ15305","ABJ15305","PA14_04460"
"ABJ15306","ABJ15306","PA14_04480"
"ABJ15307","ABJ15307","PA14_04490"
"ABJ15308","ABJ15308","PA14_04510"
"ABJ15309","ABJ15309","PA14_04520"
"ABJ15310","ABJ15310","PA14_04530"
"ABJ15311","ABJ15311","PA14_04550"
"ABJ15312","ABJ15312","PA14_04560"
"ABJ15313","ABJ15313","PA14_04570"
"ABJ15314","ABJ15314","PA14_04580"
"ABJ15315","ABJ15315","PA14_04590"
"ABJ15316","ABJ15316","PA14_04610"
"ABJ15317","ABJ15317","PA14_04630"
"ABJ15318","ABJ15318","PA14_04640"
"ABJ15319","ABJ15319","PA14_04650"
"ABJ15320","ABJ15320","PA14_04660"
"ABJ15321","ABJ15321","PA14_04670"
"ABJ15322","ABJ15322","PA14_04680"
"ABJ15323","ABJ15323","PA14_04690"
"ABJ15324","ABJ15324","PA14_04700"
"ABJ15325","ABJ15325","PA14_04710"
"ABJ15326","ABJ15326","PA14_04730"
"ABJ15327","ABJ15327","PA14_04750"
"ABJ15328","ABJ15328","PA14_04760"
"ABJ15329","ABJ15329","PA14_04780"
"ABJ15330","ABJ15330","PA14_04790"
"ABJ15331","ABJ15331","PA14_04810"
"ABJ15332","ABJ15332","PA14_04820"
"ABJ15333","ABJ15333","PA14_04830"
"ABJ15334","ABJ15334","PA14_04840"
"ABJ15335","ABJ15335","PA14_04850"
"ABJ15336","ABJ15336","PA14_04860"
"ABJ15337","ABJ15337","PA14_04870"
"ABJ15338","ABJ15338","PA14_04890"
"ABJ15339","ABJ15339","PA14_04900"
"ABJ15340","ABJ15340","PA14_04910"
"ABJ15341","ABJ15341","PA14_04920"
"ABJ15342","ABJ15342","PA14_04930"
"ABJ15343","ABJ15343","PA14_04940"
"ABJ15344","ABJ15344","PA14_04950"
"ABJ15345","ABJ15345","PA14_04960"
"ABJ15346","ABJ15346","PA14_04970"
"ABJ15347","ABJ15347","PA14_04980"
"ABJ15348","ABJ15348","PA14_05000"
"ABJ15349","ABJ15349","PA14_05010"
"ABJ15350","ABJ15350","PA14_05020"
"ABJ15351","ABJ15351","PA14_05030"
"ABJ15352","ABJ15352","PA14_05040"
"ABJ15353","ABJ15353","PA14_05050"
"ABJ15354","ABJ15354","PA14_05060"
"ABJ15355","ABJ15355","PA14_05070"
"ABJ15356","ABJ15356","PA14_05080"
"ABJ15357","ABJ15357","PA14_05110"
"ABJ15358","ABJ15358","PA14_05120"
"ABJ15359","ABJ15359","PA14_05130"
"ABJ15360","ABJ15360","PA14_05150"
"ABJ15361","ABJ15361","PA14_05160"
"ABJ15362","ABJ15362","PA14_05180"
"ABJ15363","ABJ15363","PA14_05190"
"ABJ15364","ABJ15364","PA14_05200"
"ABJ15365","ABJ15365","PA14_05210"
"ABJ15366","ABJ15366","PA14_05220"
"ABJ15367","ABJ15367","PA14_05230"
"ABJ15368","ABJ15368","PA14_05250"
"ABJ15369","ABJ15369","PA14_05260"
"ABJ15370","ABJ15370","PA14_05270"
"ABJ15371","ABJ15371","PA14_05280"
"ABJ15372","ABJ15372","PA14_05290"
"ABJ15373","ABJ15373","PA14_05300"
"ABJ15374","ABJ15374","PA14_05310"
"ABJ15375","ABJ15375","PA14_05320"
"ABJ15376","ABJ15376","PA14_05330"
"ABJ15377","ABJ15377","PA14_05340"
"ABJ15378","ABJ15378","PA14_05360"
"ABJ15379","ABJ15379","PA14_05380"
"ABJ15380","ABJ15380","PA14_05390"
"ABJ15381","ABJ15381","PA14_05400"
"ABJ15382","ABJ15382","PA14_05410"
"ABJ15383","ABJ15383","PA14_05420"
"ABJ15384","ABJ15384","PA14_05430"
"ABJ15385","ABJ15385","PA14_05440"
"ABJ15386","ABJ15386","PA14_05450"
"ABJ15387","ABJ15387","PA14_05460"
"ABJ15388","ABJ15388","PA14_05480"
"ABJ15389","ABJ15389","PA14_05500"
"ABJ15390","ABJ15390","PA14_05510"
"ABJ15391","ABJ15391","PA14_05520"
"ABJ15392","ABJ15392","PA14_05530"
"ABJ15393","ABJ15393","PA14_05540"
"ABJ15394","ABJ15394","PA14_05550"
"ABJ15395","ABJ15395","PA14_05560"
"ABJ15396","ABJ15396","PA14_05580"
"ABJ15397","ABJ15397","PA14_05590"
"ABJ15398","ABJ15398","PA14_05600"
"ABJ15399","ABJ15399","PA14_05620"
"ABJ15400","ABJ15400","PA14_05630"
"ABJ15401","ABJ15401","PA14_05640"
"ABJ15402","ABJ15402","PA14_05650"
"ABJ15403","ABJ15403","PA14_05660"
"ABJ15404","ABJ15404","PA14_05690"
"ABJ15405","ABJ15405","PA14_05700"
"ABJ15406","ABJ15406","PA14_05740"
"ABJ15407","ABJ15407","PA14_05750"
"ABJ15408","ABJ15408","PA14_05770"
"ABJ15640","ABJ15640","PA14_05775"
"ABJ15409","ABJ15409","PA14_05790"
"ABJ15410","ABJ15410","PA14_05810"
"ABJ15411","ABJ15411","PA14_05820"
"ABJ15412","ABJ15412","PA14_05840"
"ABJ15413","ABJ15413","PA14_05850"
"ABJ15414","ABJ15414","PA14_05860"
"ABJ15415","ABJ15415","PA14_05870"
"ABJ15416","ABJ15416","PA14_05880"
"ABJ15417","ABJ15417","PA14_05890"
"ABJ15418","ABJ15418","PA14_05910"
"ABJ15419","ABJ15419","PA14_05920"
"ABJ15420","ABJ15420","PA14_05950"
"ABJ15421","ABJ15421","PA14_05960"
"ABJ15422","ABJ15422","PA14_05970"
"ABJ15423","ABJ15423","PA14_05990"
"ABJ15424","ABJ15424","PA14_06000"
"ABJ15425","ABJ15425","PA14_06010"
"ABJ15427","ABJ15427","PA14_06030"
"ABJ15426","ABJ15426","PA14_06040"
"ABJ15428","ABJ15428","PA14_06060"
"ABJ15429","ABJ15429","PA14_06070"
"ABJ15430","ABJ15430","PA14_06080"
"ABJ15431","ABJ15431","PA14_06090"
"ABJ15432","ABJ15432","PA14_06120"
"ABJ15433","ABJ15433","PA14_06130"
"ABJ15434","ABJ15434","PA14_06150"
"ABJ15435","ABJ15435","PA14_06160"
"ABJ15436","ABJ15436","PA14_06170"
"ABJ15437","ABJ15437","PA14_06180"
"ABJ15438","ABJ15438","PA14_06190"
"ABJ15439","ABJ15439","PA14_06200"
"ABJ15440","ABJ15440","PA14_06210"
"ABJ15441","ABJ15441","PA14_06230"
"ABJ15442","ABJ15442","PA14_06240"
"ABJ15443","ABJ15443","PA14_06250"
"ABJ15444","ABJ15444","PA14_06260"
"ABJ15445","ABJ15445","PA14_06270"
"ABJ15446","ABJ15446","PA14_06280"
"ABJ15447","ABJ15447","PA14_06290"
"ABJ15448","ABJ15448","PA14_06300"
"ABJ15449","ABJ15449","PA14_06310"
